,重点符号,序号,英文原型,词性,中文释义,音标
0,*,1.0, birth,n.,出生；诞生,[bɜːθ]
1,,2.0, born,adj.,出生的,[bɔːn]
2,,4.0, birthday,n.,生日,[ˈbɜːθdeɪ]
3,,5.0,name,n.,名字；姓名，名称,[neɪm]
4,,6.0, age,n.,年龄;时代,[eɪdʒ]
5,,7.0, address,n.,地址,[əˈdres]
6,,8.0, background,n.,背景,[ˈbækɡraʊnd]
7,,1.0,beautiful,adj.,美的；美丽的；美观的,[ˈbjuːtɪfl]
8,,2.0,pretty,adj.,漂亮的；俊俏的,[ˈprɪti]
9,,3.0,nice,adj.,好的；令人愉快的；漂亮的,[naɪs]
10,*,4.0,handsome,adj.,英俊的,[ˈhænsəm]
11,,5.0,high,adj.,高的；高度的,[haɪ]
12,,6.0, tall,adj.,高的,[tɔːl]
13,,7.0, young,adj.,年轻的,[jʌŋ]
14,,8.0, fat,adj.,"肥的,胖的",[fæt]
15,,9.0, height,n.,高度，高,[haɪt]
16,,10.0, short,adj.,短的；矮的,[ʃɔːt]
17,*,11.0,ugly,adj.,难看的；丑陋的,[ˈʌɡli]
18,,12.0,weak,adj.,差的，弱的，淡的,[wiːk]
19,,13.0,strong,adj.,强烈的；强（壮）的；强大的,[strɒŋ]
20,,1.0, lazy,adj.,懒惰的,[ˈleɪzi]
21,*,2.0,stupid,adj.,笨的，愚蠢的,[ˈstjuːpɪd]
22,,3.0, hard,adv.,努力地,[hɑːd]
23,,4.0,patient,adj.,耐心的 n. 病人,[ˈpeɪʃnt]
24,,6.0,careful,adj.,小心的，仔细的，谨慎的,[ˈkeəfl]
25,*,7.0,polite,adj.,礼貌的，有教养的,[pəˈlaɪt]
26,,8.0,serious,adj.,严肃的，严重的；认真的,[ˈsɪəriəs]
27,*,9.0,strict,adj.,严格的；严密的,[strɪkt]
28,*,10.0,humorous,adj.,富于幽默的,[ˈhjuːmərəs]
29,,11.0,useful,adj.,有用的；有益的,[ˈjuːsfl]
30,,12.0, friendly,adj.,友好的,[ˈfrendli]
31,,13.0,sweet,adj.,可爱的；亲切的,[swiːt]
32,,14.0, shy,adj.,害羞的,[ʃaɪ]
33,,15.0,active,adj.,积极的；主动的,[ˈæktɪv]
34,,16.0, brave,adj.,勇敢的,[breɪv]
35,,17.0, honest,adj.,诚实的，正直的,[ˈɒnɪst]
36,,18.0,energy,n.,精力，能量,[ˈenədʒi]
37,,19.0,lively,adj.,活泼的；充满生气的,[ˈlaɪvli]
38,,20.0,lovely,adj.,美好的，可爱的,[ˈlʌvli]
39,,21.0,quiet,adj.,安静的；寂静的,[ˈkwaɪət]
40,,22.0,kind,adj.,善良的；友好的,[kaɪnd]
41,,23.0,helpful,adj.,有帮助的；有益的,[ˈhelpfl]
42,,24.0,excellent,adj.,优秀的；极好的,[ˈeksələnt]
43,*,25.0,wise,adj.,聪明的，英明的，有见识的,[waɪz]
44,,26.0,bright,adj.,聪明的；明亮的,[braɪt]
45,,27.0,clever,adj.,聪明的，伶俐的,[ˈklevə(r)]
46,*,28.0,smart,adj.,灵巧的；伶俐的;（人、服装等）时髦的；聪明的,[smɑːt]
47,,29.0,spirit,n.,精神,[ˈspɪrɪt]
48,*,30.0,courage,n.,勇气；胆量,[ˈkʌrɪdʒ]
49,,31.0,silly,adj.,傻的，愚蠢的,[ˈsɪli]
50,*,32.0,cruel,adj.,残忍的，残酷的；无情的,[ˈkruːəl]
51,*,33.0,crazy,adj.,疯狂的,[ˈkreɪzi]
52,,1.0,job,n.,工作,[dʒɒb]
53,,2.0,dream,n.,梦想,[driːm]
54,*,3.0,interview,n.,接见，会见，面试,[ˈɪntəvjuː]
55,*,4.0, task,n.,任务，工作,[tɑːsk]
56,,1.0,government,n.,政府,[ˈɡʌvənmənt]
57,,2.0,board,n.,委员会；（政府的）部,[bɔːd]
58,,3.0,notice,n.,布告，通告；注意,[ˈnəʊtɪs]
